2020-01-09 17:17:40.614  INFO 25702 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2020-01-09 17:17:40.862  INFO 25702 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=registry, profiles=[dev], label=null, version=null, state=null
2020-01-09 17:17:40.862  INFO 25702 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/registry-service/registry-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/registry-service/registry.yml'}]
2020-01-09 17:17:40.893  INFO 25702 --- [main] s.p.f.r.FleetRegistryServerApplication   : The following profiles are active: dev
2020-01-09 17:17:41.418  WARN 25702 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-01-09 17:17:41.512  INFO 25702 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=c54cb19c-e248-39cd-a52d-7b87aef0c00b
2020-01-09 17:17:41.736  INFO 25702 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8761 (http)
2020-01-09 17:17:41.743  INFO 25702 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-01-09 17:17:41.744  INFO 25702 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-09 17:17:41.820  INFO 25702 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-01-09 17:17:41.820  INFO 25702 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 914 ms
2020-01-09 17:17:41.879  WARN 25702 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-01-09 17:17:41.879  INFO 25702 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-01-09 17:17:41.886  INFO 25702 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@2b2f5fcf
2020-01-09 17:17:42.233  INFO 25702 --- [main] c.s.j.s.i.a.WebApplicationImpl           : Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-01-09 17:17:42.277  INFO 25702 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
