2020-01-09 18:03:09.976  INFO 28042 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2020-01-09 18:03:10.487  INFO 28042 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=registry, profiles=[dev], label=null, version=null, state=null
2020-01-09 18:03:10.488  INFO 28042 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/registry-service/registry-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/registry-service/registry.yml'}]
2020-01-09 18:03:10.515  INFO 28042 --- [main] s.p.f.r.FleetRegistryServerApplication   : The following profiles are active: dev
2020-01-09 18:03:11.020  WARN 28042 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-01-09 18:03:11.119  INFO 28042 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=c54cb19c-e248-39cd-a52d-7b87aef0c00b
2020-01-09 18:03:11.363  INFO 28042 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8761 (http)
2020-01-09 18:03:11.369  INFO 28042 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-01-09 18:03:11.370  INFO 28042 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-09 18:03:11.446  INFO 28042 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-01-09 18:03:11.446  INFO 28042 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 920 ms
2020-01-09 18:03:11.505  WARN 28042 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-01-09 18:03:11.505  INFO 28042 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-01-09 18:03:11.511  INFO 28042 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@6a638c79
2020-01-09 18:03:11.876  INFO 28042 --- [main] c.s.j.s.i.a.WebApplicationImpl           : Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-01-09 18:03:11.920  INFO 28042 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-01-09 18:03:11.921  INFO 28042 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-01-09 18:03:11.993  INFO 28042 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-01-09 18:03:11.993  INFO 28042 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-01-09 18:03:12.228  WARN 28042 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-01-09 18:03:12.228  INFO 28042 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-01-09 18:03:12.344  INFO 28042 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-01-09 18:03:12.606  WARN 28042 --- [main] ockingLoadBalancerClientRibbonWarnLogger : You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-01-09 18:03:12.642  INFO 28042 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2020-01-09 18:03:12.662  INFO 28042 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2020-01-09 18:03:12.662  INFO 28042 --- [main] com.netflix.discovery.DiscoveryClient    : Client configured to neither register nor query for data.
2020-01-09 18:03:12.667  INFO 28042 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1578572292666 with initial instances count: 0
2020-01-09 18:03:12.690  INFO 28042 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initializing ...
2020-01-09 18:03:12.692  INFO 28042 --- [main] c.n.eureka.cluster.PeerEurekaNodes       : Adding new peer nodes [http://localhost:8761/eureka/]
2020-01-09 18:03:12.818  INFO 28042 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-01-09 18:03:12.818  INFO 28042 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-01-09 18:03:12.818  INFO 28042 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-01-09 18:03:12.818  INFO 28042 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-01-09 18:03:12.892  INFO 28042 --- [main] c.n.eureka.cluster.PeerEurekaNodes       : Replica node URL:  http://localhost:8761/eureka/
2020-01-09 18:03:12.899  INFO 28042 --- [main] c.n.e.registry.AbstractInstanceRegistry  : Finished initializing remote region registries. All known remote regions: []
2020-01-09 18:03:12.899  INFO 28042 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initialized
2020-01-09 18:03:12.911  INFO 28042 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2020-01-09 18:03:12.935  INFO 28042 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application REGISTRY with eureka with status UP
2020-01-09 18:03:12.937  INFO 28042 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Setting the eureka configuration..
2020-01-09 18:03:12.937  INFO 28042 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka data center value eureka.datacenter is not set, defaulting to default
2020-01-09 18:03:12.938  INFO 28042 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka environment value eureka.environment is not set, defaulting to test
2020-01-09 18:03:12.945  INFO 28042 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2020-01-09 18:03:12.945  INFO 28042 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2020-01-09 18:03:12.945  INFO 28042 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2020-01-09 18:03:12.945  INFO 28042 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2020-01-09 18:03:12.946  INFO 28042 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
