2020-01-09 17:16:22.329  INFO 25372 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2020-01-09 17:16:22.573  INFO 25372 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=registry, profiles=[dev], label=null, version=null, state=null
2020-01-09 17:16:22.574  INFO 25372 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/registry-service/registry-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/registry-service/registry.yml'}]
2020-01-09 17:16:22.605  INFO 25372 --- [main] s.p.f.r.FleetRegistryServerApplication   : The following profiles are active: dev
2020-01-09 17:16:23.183  WARN 25372 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-01-09 17:16:23.276  INFO 25372 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=c54cb19c-e248-39cd-a52d-7b87aef0c00b
2020-01-09 17:16:23.508  INFO 25372 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8761 (http)
2020-01-09 17:16:23.516  INFO 25372 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-01-09 17:16:23.517  INFO 25372 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-09 17:16:23.596  INFO 25372 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-01-09 17:16:23.596  INFO 25372 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 979 ms
2020-01-09 17:16:23.656  WARN 25372 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-01-09 17:16:23.657  INFO 25372 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
